ock,Experience Hands-on ( 100 Words ),Years,Category,"Courseware
Skillware",Self Rating,Last edited time,__PowerAppsId__
SSIS,Impletmented more than 3 sql server integration projects with complex pipelines.,3,Big Data,No,7,"July 27, 2023 22:04",8199a5ed470e4832ba6ad5bdd9608fbe
Storytelling,Strategy Communication,2,Professional Development,No,,"August 17, 2023 16:13",9392b67bb1dc48148e401ae61b4ef182
Streaming,Created and managed more than 50 podcasts,2,,No,,"July 6, 2023 15:00",37fc9c40d206444c82921509fbeb47f0
Studio,I have built for more than 10 projects. Avid learner. I love channel,12,,No,,"July 5, 2023 16:03",46e07a62aeaa433fa24e9213c1c67819
Swarm,Completed 2 projects with docker swardm,2,DevOps,No,6,"August 17, 2023 15:56",fd8c1aa3aeaf4d268955a97fe8e55e70
System,System architecture design for 10+ systems,2,Software Engineering,No,,"August 17, 2023 16:13",b82d3e412acb4cca8edd2b15a41b8730
Systems,Architected more than 10 projects and worked in 30+ contracts using UML and visual tools,2,Software Engineering,No,,"August 17, 2023 16:13",e37441fb845d4c71a50835078ca15253
TDD,Implemented test driven programming,2,Software Engineering,No,,"August 17, 2023 16:13",7224f88235cf4459a6bb3e2002358301
Teaching,Created multiple courses and helped thousands of people learn the necessary skills gaps,6,,No,,"July 4, 2023 19:28",9f699474a38a44f28f2472c0ac58aa98
Team,"Demonstrated expertise in building, managing, and leading effective teams of various sizes, ranging from small groups of 2 members to larger teams of up to 20 members. This includes fostering team cohesion, ensuring clear communication, setting goals and performance metrics, and driving team performance to achieve project objectives.",2,Professional Development,No,,"August 17, 2023 16:13",315ac12fb06a468aaf4801d5d015eabb
Teamviewer,Remote desktop management for 20+ devices in a multi network enviroment,7,Uncategorised,No,7,"August 19, 2023 07:01",ca1b01d73d244940a1328fe4fd11480b
Technical Proficiency,"My technical proficiency, particularly in PAM and Secrets Management using Conjur and HashiCorp Vault, has been honed through hands-on application in diverse IT environments, contributing to robust security infrastructures.",3,,No,6,,8b2d3c4e341d44e5bc90599f1169140c
Technical Writing,I lead the documentation efforts in the projects. I use Rational Unified Process structure for my technical writing,8,,No,,"July 5, 2023 16:02",8c302bf48d50443cba16b6b87664d9b3
Thinkific,"I created 50 DevOps courses on Thinkific, becoming a leading educator in the field. Additionally, I earned certification as a Pluralsight trainer, further solidifying my expertise. I also conducted various trainings at Knowledge Academy, sharing my knowledge and experience with a diverse group of professionals.",,,,,,
Terraform,I used IAC for the projects to implement immutable infrastructure using Terraform,2,,No,,"July 4, 2023 19:29",3d1eadd6ba63458585a5f95418e4bd8a
Test,"I have used test driven development to create complex arhitectures."";",3,,No,,"July 4, 2023 19:24",bce6b6b9e1b84d489cb012b8eb69b5d8
Testing,Implemented multiple testing frameworks such as runscope and unit testing and integrated them to pipelines with integration and acceptance tests,8,Software Engineering,No,8,"July 27, 2023 21:33",1c7fd633d8344d6ba2e62e4a9ff5eb15
TFS,Team Foundation Server,2,Software Engineering,No,,"August 17, 2023 16:13",69c67c63719a445fb3d46fda87eef018
Training,Software Engineering ,2,Software Engineering,No,,"August 17, 2023 16:13",575fa00610444b8fb5f4d3c4e4beb014
Travel,"I am open to and have experience with international travel, which has broadened my professional network and enhanced my ability to manage cross-cultural teams and projects.",3,,No,6,,ddb6204763c448c5aa553ed566678e4d
Trello,Created more than 10 different board and completed 5 projects in multi geographies over the globe,4,Professional Development,No,7,"July 29, 2023 12:20",f79a8d9deacd4232870457603f36b035
Troubleshooting and Support,"I have led troubleshooting efforts in high-pressure situations as part of 2nd and 3rd level support, resolving complex issues efficiently and preventing recurring problems.",3,,No,6,,42f633a6b5ea4ef5af385f61881f74d9
Trunk,Implemented trunkbased development and daily deployments in 3 different projects,3,Software Engineering,No,8,"July 27, 2023 21:31",212cb2cb86b14b14a4a7f1fbd077dbb6
Turkish,Mother Language,20,Language Proficiency,No,10,"July 27, 2023 21:27",dd5a184cddae4b7ebfb87c231edafe88
Typescript,"Assisted the Scottish government in a security-cleared role, building their TypeScript libraries and deploying them to Azure App services",1,,No,,"July 6, 2023 09:25",5311e6bdeaa04749845733b8d425c3f1
Ubuntu,Daily use of Ubuntu as a Linux System Administrator for multiple contracts,4,System Administrator,No,,"July 4, 2023 19:29",03cd704ac5c84eae97ce67e9829a3b79
UI,Experience in creating UI systems for model view controller-based web projects,2,Front End Development,No,,"August 17, 2023 16:13",43c1dae4f1bb4058ab57dd2bbd187a50
UIPath,Proficiency in using RPA tools for lead generation,2,AI,No,,"August 17, 2023 16:13",64917f31262849e89f8439abcb682ce9
UML,Skilled in modelling,2,Software Engineering,No,,"August 17, 2023 16:13",cce091d513184b6aac820ae40c81de14
Unit,Developed unit testing systems for Adaptive Object Model-based architectures and provided valuable feedback to developers as a DevOps,4,,No,,"July 5, 2023 16:02",91235ebdaace49c684c91dfacdd1288e
Unity,"Built Unity 3D for more than 5 projects, focusing on pipelines for games and simulations",3,Software Engineering,No,,"August 20, 2023 16:39",896311c54a7a4e9f8e192a647df20bf9
Unreal,"Completed a master project on the Unreal Engine at SNHU, delivering a CI/CD project implemented with Perforce",1,,No,,"July 6, 2023 12:00",837bae3b26824ee89aed9de6249b157e
UX,"Created a CRM in 2005 and envisioned the implementation of a remote work franchising system, implemented with 400 nationwide agents",5,Front End Development,No,,"August 20, 2023 16:39",fe1794bff2e7445bb0f645bffeddb52f
Vagrant,Experienced in creating development environments,2,DevOps,No,,"August 20, 2023 16:38",0d0cd323cc444f0c9c39f8ae1a64791d
VB.NET,Worked with a starter software language before switching to C#,2,Back End Development,No,4,"July 27, 2023 21:44",32aacb54f8784d698fa86e74328bc5d1
vdo.ninja,"Conducted peering sessions globally, working on video production and streaming behind the scenes",1,VideoProduction,No,6,"August 19, 2023 08:51",7684e6f7192348fd949163cb4f93f30c
Video,Worked in every stage of video production,4,,No,,"July 4, 2023 19:15",2d092e97394545ad88116b2fdcdd8511
Virtual Machines,Created and managed more than 100 virtual machines for secure blockchain transactions,8,Cloud Computing,No,8,"July 27, 2023 21:02",67c03077a1e74659b2662b179489e034
Virtual Network,Skilled in creating VPC in Azure and AWS,3,Cloud Computing,https://github.com/rifaterdemsahin/automation-with-ansible/blob/main/output.md,7,"July 27, 2023 22:12",75258a918a814c39b5e4cf271d7137db
Visa,"Business visa holder for UK, USA, and Turkey",10,,No,,"July 6, 2023 11:59",d049d0510ed047239aeed8b68e5df1cf
VisualSourceSafe,Proficient in using VSS as a Git alternative for migrating legacy systems,2,DevOps,No,,,7e1fe19096a24f799f39fbe37b47b104
VisualStudio,Daily integration with various code editors,10,Software Engineering,No,,"August 17, 2023 16:13",fed290f883a0477982d4636ec2c989b4
Vmware,"Successfully led and executed numerous VMware Workstation projects, expertly crafting proof-of-concept environments tailored to customer requirements for both Windows and Linux servers and workstations. Demonstrated exceptional proficiency in virtualization technology, showcasing the ability to deliver complex solutions with precision and efficiency.",4,,No,,"July 4, 2023 19:24",b8c141c5c33f461390fa47395098f56b
Whiteboard,"I used Canva Whiteboards to deliver online training sessions in DevAIOps. This involved creating interactive and visually engaging presentations to explain complex DevAIOps concepts, workflows, and best practices. The tool helped facilitate real-time collaboration and enhanced learner engagement, making the training sessions more effective and dynamic.






",,,,,,
Voicemeeter,Skilled in video production and sound mixing for technical courses,2,VideoProduction,No,,"July 6, 2023 15:12",8df036da59934508a71843e7fd2b23f9
VPC,Experienced in creating and managing virtual private networks in Amazon Web Services,3,Cloud Computing,No,5,"July 27, 2023 22:09",26cbcf1f12bf49ceaef47eba632e79db
VPC ,"Expert in Google Cloud Virtual Private Cloud (VPC), enabling networking for Compute Engine VM instances, Kubernetes Engine containers, and App Engine flexible environment. Proficient in configuring VPC networks essential for deploying VMs, containers, and applications on Google Cloud Platform. Skilled in managing default networks within Google Cloud projects to facilitate seamless cloud infrastructure setup and operation.






",4,Cloud Computing,No,,,6f220e080979472c9147ae5974ee06f8
VR,Utilized VR for defense systems training program backend orchestration and built pipelines on AWS for deployment to Oculus Quest,6,,No,,"July 4, 2023 19:24",a6eca963e64d419a89cae267a5615285
VSS,Conducted multi-year enterprise source controls transfer to Git,2,DevOps,No,,,dc5ecde45ad54d0a84c35c887bc5cfaa
VSTS,"Delivered over 5 projects using Visual Studio Online, employing scrum and kanban methodologies, and creating burndown charts",5,,No,,"July 4, 2023 19:29",26af2343e51544f0815be85d595a3bab
WAF,Set up multiple certificates on web access firewalls in Azure and have a strong understanding of HTTP and HTTPS protocols. Also created certificates in AWS and deployed them for serverless websites,3,,No,,"July 4, 2023 19:29",76fde289757d45ffbff4875469ec5bb6
Web,Proficient in building modern web applications,5,Front End Development,No,,"August 17, 2023 16:13",f3742c93908b42ae8b3246839c46f363
WebEx,Experienced in conducting remote meetings and collaborations globally,2,Professional Development,No,,"August 17, 2023 16:13",3be73f288c8c42c79c782adf6f726a75
WebServices,Implemented web services at different versions and managed their revisions,8,Back End Development,No,8,"July 27, 2023 21:45",e2fbc2c2043040cd81705a379a6a41f3
Windows,Skilled in building and maintaining Windows and Windows server systems,8,Software Engineering,https://github.com/rifaterdemsahin/workstation/,,"August 17, 2023 16:13",075eea806acd4712a5acfddf338ae79a
Wireshark,Experienced in debugging networks for man-in-the-middle attacks,2,System Administrator,No,,"August 17, 2023 16:13",2862f23ea0ac48e6989ac61a3c71c03e
Workflow,Utilized AWS step functions as workflows to invalidate AWS Cloud Front CDN systems,9,,No,,"July 4, 2023 19:29",299024273e5646a4b872133b03f4f2ff
WSDL,Created and managed WSDL for the web services I've developed and consumed third-party integrations,3,Back End Development,No,6,"July 27, 2023 21:46",5ce8b08354304734b5e5b5e5ad55922d
XML,Managed XML-based databases,5,Big Data,https://github.com/rifaterdemsahin/xq/tree/main,4,"July 27, 2023 22:07",a75c2980a22c4644922480103b220db7
XP,Avid learner of software methodologies with a focus on Extreme Programming (XP) for agile implementations and have successfully completed over 5 projects using XP,7,,No,,"July 5, 2023 16:03",6a0e593062fa4321a2851ec9ed7927ec
Xsplit,Experienced in creating video productions for technical white papers,2,Uncategorised,No,,"August 17, 2023 16:13",53648b53860c4f35aed7ed748de9f94f
Youtube,Proficient in publishing technical documentation to YouTube,4,Uncategorised,No,,"August 17, 2023 16:13",8723df74073840d497cd1fee1d38490e
Zookeeper,Implemented Proof of Concept in Accenture,1,DevOps,No,5,"August 4, 2023 10:25",e03e8f6fc0ba4d7e8efded7cffcfaa0f
Zoom,Utilized Zoom for more than 2 different contracts in the USA,2,Professional Development,No,5,16/04/2024,74cac190b7b04e22bd3b0494ce82af7f
RESTful Architecture,Designed and deployed RESTful services for e-commerce platforms.,2,,No,5,16/04/2024,
OAuth2,Implemented OAuth2 for secure API authentication in mobile apps.,2,,No,5,16/04/2024,
JWT,Utilized JWTs for user authentication in a microservices architecture.,2,,No,5,16/04/2024,
GitHub,Managed version control and code reviews using GitHub for software projects.,2,,No,5,16/04/2024,
Infrastructure as Code (IaC),Automated infrastructure provisioning using Terraform and AWS CloudFormation.,2,,No,5,16/04/2024,
Saltstack,Configured Saltstack for automated server setups and maintenance.,2,,No,5,16/04/2024,
Google Cloud Platform (GCP),Deployed scalable apps on GCP with managed Kubernetes services.,2,,No,5,16/04/2024,
IaaS (Infrastructure as a Service),Managed IaaS components to support enterprise-level application deployment.,2,,No,5,16/04/2024,
SaaS (Software as a Service),Developed a SaaS product offering for real-time data analytics.,2,,No,5,16/04/2024,
PaaS (Platform as a Service),Leveraged PaaS for efficient web application development and deployment.,2,,No,5,16/04/2024,
Azure DevOps,Orchestrated pipelines in Azure DevOps for CI/CD processes.,2,,No,5,16/04/2024,
CI/CD (Continuous Integration/Continuous Deployment),Streamlined CI/CD pipelines enhancing deployment frequencies and stability.,2,,No,5,16/04/2024,
Cloud Infrastructure Deployment,Led cloud infrastructure deployments across hybrid environments.,2,,No,5,16/04/2024,
Load Balancing,Implemented load balancing solutions to ensure optimal application performance.,2,,No,5,16/04/2024,
Network Switching and Routing,Oversaw network routing and switching upgrades to support increased traffic.,2,,No,5,16/04/2024,
Backup and Disaster Recovery,Designed robust backup and disaster recovery strategies for IT systems.,2,,No,5,16/04/2024,
High Availability,Ensured high availability and fault tolerance for critical business applications.,2,,No,5,16/04/2024,
Enterprise and Cloud Storage Management,Managed large-scale storage solutions in enterprise and cloud settings.,2,,No,5,16/04/2024,
Database Technologies,Optimized database performance and integration for multiple client projects,2,,No,5,16/04/2024,
